 # Date: Wed May 14 12:23:04 2025
 # Fr =   2.7091417853725762E-009
 # tau =  0.50000372448375252      , uO =   0.0000000000000000     
 # Iteration No.:            0
 # Lx =250    Ly =   5
 #      Results of the computations
 # x   y     h(i,j)      u(i,j)      v(i,j)
 #------------------------------------------
  13   5    2.000000    0.000000    0.000000
  14   1    2.000000    0.000000    0.000000
  14   2    2.000000    0.000000    0.000000
  14   3    2.000000    0.000000    0.000000
  14   4    2.000000    0.000000    0.000000
  14   5    2.000000    0.000000    0.000000
  15   1    2.000000    0.000000    0.000000
  15   2    2.000000    0.000000    0.000000
  15   3    2.000000    0.000000    0.000000
  15   4    2.000000    0.000000    0.000000
  15   5    2.000000    0.000000    0.000000
  16   1    2.000000    0.000000    0.000000
  16   2    2.000000    0.000000    0.000000
  16   3    2.000000    0.000000    0.000000
  16   4    2.000000    0.000000    0.000000
  16   5    2.000000    0.000000    0.000000
  17   1    2.000000    0.000000    0.000000
  17   2    2.000000    0.000000    0.000000
  17   3    2.000000    0.000000    0.000000
  17   4    2.000000    0.000000    0.000000
  17   5    2.000000    0.000000    0.000000
  18   1    2.000000    0.000000    0.000000
  18   2    2.000000    0.000000    0.000000
  18   3    2.000000    0.000000    0.000000
  18   4    2.000000    0.000000    0.000000
  18   5    2.000000    0.000000    0.000000
  19   1    2.000000    0.000000    0.000000
  19   2    2.000000    0.000000    0.000000
  19   3    2.000000    0.000000    0.000000
  19   4    2.000000    0.000000    0.000000
  19   5    2.000000    0.000000    0.000000
  20   1    2.000000    0.000000    0.000000
  20   2    2.000000    0.000000    0.000000
  20   3    2.000000    0.000000    0.000000
  20   4    2.000000    0.000000    0.000000
  20   5    2.000000    0.000000    0.000000
  21   1    2.000000    0.000000    0.000000
  21   2    2.000000    0.000000    0.000000
  21   3    2.000000    0.000000    0.000000
  21   4    2.000000    0.000000    0.000000
  21   5    2.000000    0.000000    0.000000
  22   1    2.000000    0.000000    0.000000
  22   2    2.000000    0.000000    0.000000
  22   3    2.000000    0.000000    0.000000
  22   4    2.000000    0.000000    0.000000
  22   5    2.000000    0.000000    0.000000
  23   1    2.000000    0.000000    0.000000
  23   2    2.000000    0.000000    0.000000
  23   3    2.000000    0.000000    0.000000
  23   4    2.000000    0.000000    0.000000
  23   5    2.000000    0.000000    0.000000
  24   1    2.000000    0.000000    0.000000
  24   2    2.000000    0.000000    0.000000
  24   3    2.000000    0.000000    0.000000
  24   4    2.000000    0.000000    0.000000
  24   5    2.000000    0.000000    0.000000
  25   1    2.000000    0.000000    0.000000
  25   2    2.000000    0.000000    0.000000
  25   3    2.000000    0.000000    0.000000
  25   4    2.000000    0.000000    0.000000
  25   5    2.000000    0.000000    0.000000
  26   1    2.000000    0.000000    0.000000
  26   2    2.000000    0.000000    0.000000
  26   3    2.000000    0.000000    0.000000
  26   4    2.000000    0.000000    0.000000
  26   5    2.000000    0.000000    0.000000
  27   1    2.000000    0.000000    0.000000
  27   2    2.000000    0.000000    0.000000
  27   3    2.000000    0.000000    0.000000
  27   4    2.000000    0.000000    0.000000
  27   5    2.000000    0.000000    0.000000
  28   1    2.000000    0.000000    0.000000
  28   2    2.000000    0.000000    0.000000
  28   3    2.000000    0.000000    0.000000
  28   4    2.000000    0.000000    0.000000
  28   5    2.000000    0.000000    0.000000
  29   1    2.000000    0.000000    0.000000
  29   2    2.000000    0.000000    0.000000
  29   3    2.000000    0.000000    0.000000
  29   4    2.000000    0.000000    0.000000
  29   5    2.000000    0.000000    0.000000
  30   1    2.000000    0.000000    0.000000
  30   2    2.000000    0.000000    0.000000
  30   3    2.000000    0.000000    0.000000
  30   4    2.000000    0.000000    0.000000
  30   5    2.000000    0.000000    0.000000
  31   1    2.000000    0.000000    0.000000
  31   2    2.000000    0.000000    0.000000
  31   3    2.000000    0.000000    0.000000
  31   4    2.000000    0.000000    0.000000
  31   5    2.000000    0.000000    0.000000
  32   1    2.000000    0.000000    0.000000
  32   2    2.000000    0.000000    0.000000
  32   3    2.000000    0.000000    0.000000
  32   4    2.000000    0.000000    0.000000
  32   5    2.000000    0.000000    0.000000
  33   1    2.000000    0.000000    0.000000
  33   2    2.000000    0.000000    0.000000
  33   3    2.000000    0.000000    0.000000
  33   4    2.000000    0.000000    0.000000
  33   5    2.000000    0.000000    0.000000
  34   1    2.000000    0.000000    0.000000
  34   2    2.000000    0.000000    0.000000
  34   3    2.000000    0.000000    0.000000
  34   4    2.000000    0.000000    0.000000
  34   5    2.000000    0.000000    0.000000
  35   1    2.000000    0.000000    0.000000
  35   2    2.000000    0.000000    0.000000
  35   3    2.000000    0.000000    0.000000
  35   4    2.000000    0.000000    0.000000
  35   5    2.000000    0.000000    0.000000
  36   1    2.000000    0.000000    0.000000
  36   2    2.000000    0.000000    0.000000
  36   3    2.000000    0.000000    0.000000
  36   4    2.000000    0.000000    0.000000
  36   5    2.000000    0.000000    0.000000
  37   1    2.000000    0.000000    0.000000
  37   2    2.000000    0.000000    0.000000
  37   3    2.000000    0.000000    0.000000
  37   4    2.000000    0.000000    0.000000
  37   5    2.000000    0.000000    0.000000
  38   1    2.000000    0.000000    0.000000
  38   2    2.000000    0.000000    0.000000
  38   3    2.000000    0.000000    0.000000
  38   4    2.000000    0.000000    0.000000
  38   5    2.000000    0.000000    0.000000
  39   1    2.000000    0.000000    0.000000
  39   2    2.000000    0.000000    0.000000
  39   3    2.000000    0.000000    0.000000
  39   4    2.000000    0.000000    0.000000
  39   5    2.000000    0.000000    0.000000
  40   1    2.000000    0.000000    0.000000
  40   2    2.000000    0.000000    0.000000
  40   3    2.000000    0.000000    0.000000
  40   4    2.000000    0.000000    0.000000
  40   5    2.000000    0.000000    0.000000
  41   1    2.000000    0.000000    0.000000
  41   2    2.000000    0.000000    0.000000
  41   3    2.000000    0.000000    0.000000
  41   4    2.000000    0.000000    0.000000
  41   5    2.000000    0.000000    0.000000
  42   1    2.000000    0.000000    0.000000
  42   2    2.000000    0.000000    0.000000
  42   3    2.000000    0.000000    0.000000
  42   4    2.000000    0.000000    0.000000
  42   5    2.000000    0.000000    0.000000
  43   1    2.000000    0.000000    0.000000
  43   2    2.000000    0.000000    0.000000
  43   3    2.000000    0.000000    0.000000
  43   4    2.000000    0.000000    0.000000
  43   5    2.000000    0.000000    0.000000
  44   1    2.000000    0.000000    0.000000
  44   2    2.000000    0.000000    0.000000
  44   3    2.000000    0.000000    0.000000
  44   4    2.000000    0.000000    0.000000
  44   5    2.000000    0.000000    0.000000
  45   1    2.000000    0.000000    0.000000
  45   2    2.000000    0.000000    0.000000
  45   3    2.000000    0.000000    0.000000
  45   4    2.000000    0.000000    0.000000
  45   5    2.000000    0.000000    0.000000
  46   1    2.000000    0.000000    0.000000
  46   2    2.000000    0.000000    0.000000
  46   3    2.000000    0.000000    0.000000
  46   4    2.000000    0.000000    0.000000
  46   5    2.000000    0.000000    0.000000
  47   1    2.000000    0.000000    0.000000
  47   2    2.000000    0.000000    0.000000
  47   3    2.000000    0.000000    0.000000
  47   4    2.000000    0.000000    0.000000
  47   5    2.000000    0.000000    0.000000
  48   1    2.000000    0.000000    0.000000
  48   2    2.000000    0.000000    0.000000
  48   3    2.000000    0.000000    0.000000
  48   4    2.000000    0.000000    0.000000
  48   5    2.000000    0.000000    0.000000
  49   1    2.000000    0.000000    0.000000
  49   2    2.000000    0.000000    0.000000
  49   3    2.000000    0.000000    0.000000
  49   4    2.000000    0.000000    0.000000
  49   5    2.000000    0.000000    0.000000
  50   1    2.000000    0.000000    0.000000
  50   2    2.000000    0.000000    0.000000
  50   3    2.000000    0.000000    0.000000
  50   4    2.000000    0.000000    0.000000
  50   5    2.000000    0.000000    0.000000
  51   1    2.000000    0.000000    0.000000
  51   2    2.000000    0.000000    0.000000
  51   3    2.000000    0.000000    0.000000
  51   4    2.000000    0.000000    0.000000
  51   5    2.000000    0.000000    0.000000
  52   1    2.000000    0.000000    0.000000
  52   2    2.000000    0.000000    0.000000
  52   3    2.000000    0.000000    0.000000
  52   4    2.000000    0.000000    0.000000
  52   5    2.000000    0.000000    0.000000
  53   1    2.000000    0.000000    0.000000
  53   2    2.000000    0.000000    0.000000
  53   3    2.000000    0.000000    0.000000
  53   4    2.000000    0.000000    0.000000
  53   5    2.000000    0.000000    0.000000
  54   1    2.000000    0.000000    0.000000
  54   2    2.000000    0.000000    0.000000
  54   3    2.000000    0.000000    0.000000
  54   4    2.000000    0.000000    0.000000
  54   5    2.000000    0.000000    0.000000
  55   1    2.000000    0.000000    0.000000
  55   2    2.000000    0.000000    0.000000
  55   3    2.000000    0.000000    0.000000
  55   4    2.000000    0.000000    0.000000
  55   5    2.000000    0.000000    0.000000
  56   1    2.000000    0.000000    0.000000
  56   2    2.000000    0.000000    0.000000
  56   3    2.000000    0.000000    0.000000
  56   4    2.000000    0.000000    0.000000
  56   5    2.000000    0.000000    0.000000
  57   1    2.000000    0.000000    0.000000
  57   2    2.000000    0.000000    0.000000
  57   3    2.000000    0.000000    0.000000
  57   4    2.000000    0.000000    0.000000
  57   5    2.000000    0.000000    0.000000
  58   1    2.000000    0.000000    0.000000
  58   2    2.000000    0.000000    0.000000
  58   3    2.000000    0.000000    0.000000
  58   4    2.000000    0.000000    0.000000
  58   5    2.000000    0.000000    0.000000
  59   1    2.000000    0.000000    0.000000
  59   2    2.000000    0.000000    0.000000
  59   3    2.000000    0.000000    0.000000
  59   4    2.000000    0.000000    0.000000
  59   5    2.000000    0.000000    0.000000
  60   1    2.000000    0.000000    0.000000
  60   2    2.000000    0.000000    0.000000
  60   3    2.000000    0.000000    0.000000
  60   4    2.000000    0.000000    0.000000
  60   5    2.000000    0.000000    0.000000
  61   1    2.000000    0.000000    0.000000
  61   2    2.000000    0.000000    0.000000
  61   3    2.000000    0.000000    0.000000
  61   4    2.000000    0.000000    0.000000
  61   5    2.000000    0.000000    0.000000
  62   1    2.000000    0.000000    0.000000
  62   2    2.000000    0.000000    0.000000
  62   3    2.000000    0.000000    0.000000
  62   4    2.000000    0.000000    0.000000
  62   5    2.000000    0.000000    0.000000
  63   1    2.000000    0.000000    0.000000
  63   2    2.000000    0.000000    0.000000
  63   3    2.000000    0.000000    0.000000
  63   4    2.000000    0.000000    0.000000
  63   5    2.000000    0.000000    0.000000
  64   1    2.000000    0.000000    0.000000
  64   2    2.000000    0.000000    0.000000
  64   3    2.000000    0.000000    0.000000
  64   4    2.000000    0.000000    0.000000
  64   5    2.000000    0.000000    0.000000
  65   1    2.000000    0.000000    0.000000
  65   2    2.000000    0.000000    0.000000
  65   3    2.000000    0.000000    0.000000
  65   4    2.000000    0.000000    0.000000
  65   5    2.000000    0.000000    0.000000
  66   1    2.000000    0.000000    0.000000
  66   2    2.000000    0.000000    0.000000
  66   3    2.000000    0.000000    0.000000
  66   4    2.000000    0.000000    0.000000
  66   5    2.000000    0.000000    0.000000
  67   1    2.000000    0.000000    0.000000
  67   2    2.000000    0.000000    0.000000
  67   3    2.000000    0.000000    0.000000
  67   4    2.000000    0.000000    0.000000
  67   5    2.000000    0.000000    0.000000
  68   1    2.000000    0.000000    0.000000
  68   2    2.000000    0.000000    0.000000
  68   3    2.000000    0.000000    0.000000
  68   4    2.000000    0.000000    0.000000
  68   5    2.000000    0.000000    0.000000
  69   1    2.000000    0.000000    0.000000
  69   2    2.000000    0.000000    0.000000
  69   3    2.000000    0.000000    0.000000
  69   4    2.000000    0.000000    0.000000
  69   5    2.000000    0.000000    0.000000
  70   1    2.000000    0.000000    0.000000
  70   2    2.000000    0.000000    0.000000
  70   3    2.000000    0.000000    0.000000
  70   4    2.000000    0.000000    0.000000
  70   5    2.000000    0.000000    0.000000
  71   1    2.000000    0.000000    0.000000
  71   2    2.000000    0.000000    0.000000
  71   3    2.000000    0.000000    0.000000
  71   4    2.000000    0.000000    0.000000
  71   5    2.000000    0.000000    0.000000
  72   1    2.000000    0.000000    0.000000
  72   2    2.000000    0.000000    0.000000
  72   3    2.000000    0.000000    0.000000
  72   4    2.000000    0.000000    0.000000
  72   5    2.000000    0.000000    0.000000
  73   1    2.000000    0.000000    0.000000
  73   2    2.000000    0.000000    0.000000
  73   3    2.000000    0.000000    0.000000
  73   4    2.000000    0.000000    0.000000
  73   5    2.000000    0.000000    0.000000
  74   1    2.000000    0.000000    0.000000
  74   2    2.000000    0.000000    0.000000
  74   3    2.000000    0.000000    0.000000
  74   4    2.000000    0.000000    0.000000
  74   5    2.000000    0.000000    0.000000
  75   1    2.000000    0.000000    0.000000
  75   2    2.000000    0.000000    0.000000
  75   3    2.000000    0.000000    0.000000
  75   4    2.000000    0.000000    0.000000
  75   5    2.000000    0.000000    0.000000
  76   1    2.000000    0.000000    0.000000
  76   2    2.000000    0.000000    0.000000
  76   3    2.000000    0.000000    0.000000
  76   4    2.000000    0.000000    0.000000
  76   5    2.000000    0.000000    0.000000
  77   1    2.000000    0.000000    0.000000
  77   2    2.000000    0.000000    0.000000
  77   3    2.000000    0.000000    0.000000
  77   4    2.000000    0.000000    0.000000
  77   5    2.000000    0.000000    0.000000
  78   1    2.000000    0.000000    0.000000
  78   2    2.000000    0.000000    0.000000
  78   3    2.000000    0.000000    0.000000
  78   4    2.000000    0.000000    0.000000
  78   5    2.000000    0.000000    0.000000
  79   1    2.000000    0.000000    0.000000
  79   2    2.000000    0.000000    0.000000
  79   3    2.000000    0.000000    0.000000
  79   4    2.000000    0.000000    0.000000
  79   5    2.000000    0.000000    0.000000
  80   1    2.000000    0.000000    0.000000
  80   2    2.000000    0.000000    0.000000
  80   3    2.000000    0.000000    0.000000
  80   4    2.000000    0.000000    0.000000
  80   5    2.000000    0.000000    0.000000
  81   1    2.000000    0.000000    0.000000
  81   2    2.000000    0.000000    0.000000
  81   3    2.000000    0.000000    0.000000
  81   4    2.000000    0.000000    0.000000
  81   5    2.000000    0.000000    0.000000
  82   1    2.000000    0.000000    0.000000
  82   2    2.000000    0.000000    0.000000
  82   3    2.000000    0.000000    0.000000
  82   4    2.000000    0.000000    0.000000
  82   5    2.000000    0.000000    0.000000
  83   1    2.000000    0.000000    0.000000
  83   2    2.000000    0.000000    0.000000
  83   3    2.000000    0.000000    0.000000
  83   4    2.000000    0.000000    0.000000
  83   5    2.000000    0.000000    0.000000
  84   1    2.000000    0.000000    0.000000
  84   2    2.000000    0.000000    0.000000
  84   3    2.000000    0.000000    0.000000
  84   4    2.000000    0.000000    0.000000
  84   5    2.000000    0.000000    0.000000
  85   1    2.000000    0.000000    0.000000
  85   2    2.000000    0.000000    0.000000
  85   3    2.000000    0.000000    0.000000
  85   4    2.000000    0.000000    0.000000
  85   5    2.000000    0.000000    0.000000
  86   1    2.000000    0.000000    0.000000
  86   2    2.000000    0.000000    0.000000
  86   3    2.000000    0.000000    0.000000
  86   4    2.000000    0.000000    0.000000
  86   5    2.000000    0.000000    0.000000
  87   1    2.000000    0.000000    0.000000
  87   2    2.000000    0.000000    0.000000
  87   3    2.000000    0.000000    0.000000
  87   4    2.000000    0.000000    0.000000
  87   5    2.000000    0.000000    0.000000
  88   1    2.000000    0.000000    0.000000
  88   2    2.000000    0.000000    0.000000
  88   3    2.000000    0.000000    0.000000
  88   4    2.000000    0.000000    0.000000
  88   5    2.000000    0.000000    0.000000
  89   1    2.000000    0.000000    0.000000
  89   2    2.000000    0.000000    0.000000
  89   3    2.000000    0.000000    0.000000
  89   4    2.000000    0.000000    0.000000
  89   5    2.000000    0.000000    0.000000
  90   1    2.000000    0.000000    0.000000
  90   2    2.000000    0.000000    0.000000
  90   3    2.000000    0.000000    0.000000
  90   4    2.000000    0.000000    0.000000
  90   5    2.000000    0.000000    0.000000
  91   1    2.000000    0.000000    0.000000
  91   2    2.000000    0.000000    0.000000
  91   3    2.000000    0.000000    0.000000
  91   4    2.000000    0.000000    0.000000
  91   5    2.000000    0.000000    0.000000
  92   1    2.000000    0.000000    0.000000
  92   2    2.000000    0.000000    0.000000
  92   3    2.000000    0.000000    0.000000
  92   4    2.000000    0.000000    0.000000
  92   5    2.000000    0.000000    0.000000
  93   1    2.000000    0.000000    0.000000
  93   2    2.000000    0.000000    0.000000
  93   3    2.000000    0.000000    0.000000
  93   4    2.000000    0.000000    0.000000
  93   5    2.000000    0.000000    0.000000
  94   1    2.000000    0.000000    0.000000
  94   2    2.000000    0.000000    0.000000
  94   3    2.000000    0.000000    0.000000
  94   4    2.000000    0.000000    0.000000
  94   5    2.000000    0.000000    0.000000
  95   1    2.000000    0.000000    0.000000
  95   2    2.000000    0.000000    0.000000
  95   3    2.000000    0.000000    0.000000
  95   4    2.000000    0.000000    0.000000
  95   5    2.000000    0.000000    0.000000
  96   1    2.000000    0.000000    0.000000
  96   2    2.000000    0.000000    0.000000
  96   3    2.000000    0.000000    0.000000
  96   4    2.000000    0.000000    0.000000
  96   5    2.000000    0.000000    0.000000
  97   1    2.000000    0.000000    0.000000
  97   2    2.000000    0.000000    0.000000
  97   3    2.000000    0.000000    0.000000
  97   4    2.000000    0.000000    0.000000
  97   5    2.000000    0.000000    0.000000
  98   1    2.000000    0.000000    0.000000
  98   2    2.000000    0.000000    0.000000
  98   3    2.000000    0.000000    0.000000
  98   4    2.000000    0.000000    0.000000
  98   5    2.000000    0.000000    0.000000
  99   1    2.000000    0.000000    0.000000
  99   2    2.000000    0.000000    0.000000
  99   3    2.000000    0.000000    0.000000
  99   4    2.000000    0.000000    0.000000
  99   5    2.000000    0.000000    0.000000
 100   1    2.000000    0.000000    0.000000
 100   2    2.000000    0.000000    0.000000
 100   3    2.000000    0.000000    0.000000
 100   4    2.000000    0.000000    0.000000
 100   5    2.000000    0.000000    0.000000
 101   1    2.000000    0.000000    0.000000
 101   2    2.000000    0.000000    0.000000
 101   3    2.000000    0.000000    0.000000
 101   4    2.000000    0.000000    0.000000
 101   5    2.000000    0.000000    0.000000
 102   1    2.000000    0.000000    0.000000
 102   2    2.000000    0.000000    0.000000
 102   3    2.000000    0.000000    0.000000
 102   4    2.000000    0.000000    0.000000
 102   5    2.000000    0.000000    0.000000
 103   1    2.000000    0.000000    0.000000
 103   2    2.000000    0.000000    0.000000
 103   3    2.000000    0.000000    0.000000
 103   4    2.000000    0.000000    0.000000
 103   5    2.000000    0.000000    0.000000
 104   1    2.000000    0.000000    0.000000
 104   2    2.000000    0.000000    0.000000
 104   3    2.000000    0.000000    0.000000
 104   4    2.000000    0.000000    0.000000
 104   5    2.000000    0.000000    0.000000
 105   1    2.000000    0.000000    0.000000
 105   2    2.000000    0.000000    0.000000
 105   3    2.000000    0.000000    0.000000
 105   4    2.000000    0.000000    0.000000
 105   5    2.000000    0.000000    0.000000
 106   1    2.000000    0.000000    0.000000
 106   2    2.000000    0.000000    0.000000
 106   3    2.000000    0.000000    0.000000
 106   4    2.000000    0.000000    0.000000
 106   5    2.000000    0.000000    0.000000
 107   1    2.000000    0.000000    0.000000
 107   2    2.000000    0.000000    0.000000
 107   3    2.000000    0.000000    0.000000
 107   4    2.000000    0.000000    0.000000
 107   5    2.000000    0.000000    0.000000
 108   1    2.000000    0.000000    0.000000
 108   2    2.000000    0.000000    0.000000
 108   3    2.000000    0.000000    0.000000
 108   4    2.000000    0.000000    0.000000
 108   5    2.000000    0.000000    0.000000
 109   1    2.000000    0.000000    0.000000
 109   2    2.000000    0.000000    0.000000
 109   3    2.000000    0.000000    0.000000
 109   4    2.000000    0.000000    0.000000
 109   5    2.000000    0.000000    0.000000
 110   1    2.000000    0.000000    0.000000
 110   2    2.000000    0.000000    0.000000
 110   3    2.000000    0.000000    0.000000
 110   4    2.000000    0.000000    0.000000
 110   5    2.000000    0.000000    0.000000
 111   1    2.000000    0.000000    0.000000
 111   2    2.000000    0.000000    0.000000
 111   3    2.000000    0.000000    0.000000
 111   4    2.000000    0.000000    0.000000
 111   5    2.000000    0.000000    0.000000
 112   1    2.000000    0.000000    0.000000
 112   2    2.000000    0.000000    0.000000
 112   3    2.000000    0.000000    0.000000
 112   4    2.000000    0.000000    0.000000
 112   5    2.000000    0.000000    0.000000
 113   1    2.000000    0.000000    0.000000
 113   2    2.000000    0.000000    0.000000
 113   3    2.000000    0.000000    0.000000
 113   4    2.000000    0.000000    0.000000
 113   5    2.000000    0.000000    0.000000
 114   1    2.000000    0.000000    0.000000
 114   2    2.000000    0.000000    0.000000
 114   3    2.000000    0.000000    0.000000
 114   4    2.000000    0.000000    0.000000
 114   5    2.000000    0.000000    0.000000
 115   1    2.000000    0.000000    0.000000
 115   2    2.000000    0.000000    0.000000
 115   3    2.000000    0.000000    0.000000
 115   4    2.000000    0.000000    0.000000
 115   5    2.000000    0.000000    0.000000
 116   1    2.000000    0.000000    0.000000
 116   2    2.000000    0.000000    0.000000
 116   3    2.000000    0.000000    0.000000
 116   4    2.000000    0.000000    0.000000
 116   5    2.000000    0.000000    0.000000
 117   1    2.000000    0.000000    0.000000
 117   2    2.000000    0.000000    0.000000
 117   3    2.000000    0.000000    0.000000
 117   4    2.000000    0.000000    0.000000
 117   5    2.000000    0.000000    0.000000
 118   1    2.000000    0.000000    0.000000
 118   2    2.000000    0.000000    0.000000
 118   3    2.000000    0.000000    0.000000
 118   4    2.000000    0.000000    0.000000
 118   5    2.000000    0.000000    0.000000
 119   1    2.000000    0.000000    0.000000
 119   2    2.000000    0.000000    0.000000
 119   3    2.000000    0.000000    0.000000
 119   4    2.000000    0.000000    0.000000
 119   5    2.000000    0.000000    0.000000
 120   1    2.000000    0.000000    0.000000
 120   2    2.000000    0.000000    0.000000
 120   3    2.000000    0.000000    0.000000
 120   4    2.000000    0.000000    0.000000
 120   5    2.000000    0.000000    0.000000
 121   1    2.000000    0.000000    0.000000
 121   2    2.000000    0.000000    0.000000
 121   3    2.000000    0.000000    0.000000
 121   4    2.000000    0.000000    0.000000
 121   5    2.000000    0.000000    0.000000
 122   1    2.000000    0.000000    0.000000
 122   2    2.000000    0.000000    0.000000
 122   3    2.000000    0.000000    0.000000
 122   4    2.000000    0.000000    0.000000
 122   5    2.000000    0.000000    0.000000
 123   1    2.000000    0.000000    0.000000
 123   2    2.000000    0.000000    0.000000
 123   3    2.000000    0.000000    0.000000
 123   4    2.000000    0.000000    0.000000
 123   5    2.000000    0.000000    0.000000
 124   1    2.000000    0.000000    0.000000
 124   2    2.000000    0.000000    0.000000
 124   3    2.000000    0.000000    0.000000
 124   4    2.000000    0.000000    0.000000
 124   5    2.000000    0.000000    0.000000
 125   1    2.000000    0.000000    0.000000
 125   2    2.000000    0.000000    0.000000
 125   3    2.000000    0.000000    0.000000
 125   4    2.000000    0.000000    0.000000
 125   5    2.000000    0.000000    0.000000
 126   1    2.000000    0.000000    0.000000
 126   2    2.000000    0.000000    0.000000
 126   3    2.000000    0.000000    0.000000
 126   4    2.000000    0.000000    0.000000
 126   5    2.000000    0.000000    0.000000
 127   1    2.000000    0.000000    0.000000
 127   2    2.000000    0.000000    0.000000
 127   3    2.000000    0.000000    0.000000
 127   4    2.000000    0.000000    0.000000
 127   5    2.000000    0.000000    0.000000
 128   1    2.000000    0.000000    0.000000
 128   2    2.000000    0.000000    0.000000
 128   3    2.000000    0.000000    0.000000
 128   4    2.000000    0.000000    0.000000
 128   5    2.000000    0.000000    0.000000
 129   1    2.000000    0.000000    0.000000
 129   2    2.000000    0.000000    0.000000
 129   3    2.000000    0.000000    0.000000
 129   4    2.000000    0.000000    0.000000
 129   5    2.000000    0.000000    0.000000
 130   1    2.000000    0.000000    0.000000
 130   2    2.000000    0.000000    0.000000
 130   3    2.000000    0.000000    0.000000
 130   4    2.000000    0.000000    0.000000
 130   5    2.000000    0.000000    0.000000
 131   1    2.000000    0.000000    0.000000
 131   2    2.000000    0.000000    0.000000
 131   3    2.000000    0.000000    0.000000
 131   4    2.000000    0.000000    0.000000
 131   5    2.000000    0.000000    0.000000
 132   1    2.000000    0.000000    0.000000
 132   2    2.000000    0.000000    0.000000
 132   3    2.000000    0.000000    0.000000
 132   4    2.000000    0.000000    0.000000
 132   5    2.000000    0.000000    0.000000
 133   1    2.000000    0.000000    0.000000
 133   2    2.000000    0.000000    0.000000
 133   3    2.000000    0.000000    0.000000
 133   4    2.000000    0.000000    0.000000
 133   5    2.000000    0.000000    0.000000
 134   1    2.000000    0.000000    0.000000
 134   2    2.000000    0.000000    0.000000
 134   3    2.000000    0.000000    0.000000
 134   4    2.000000    0.000000    0.000000
 134   5    2.000000    0.000000    0.000000
 135   1    2.000000    0.000000    0.000000
 135   2    2.000000    0.000000    0.000000
 135   3    2.000000    0.000000    0.000000
 135   4    2.000000    0.000000    0.000000
 135   5    2.000000    0.000000    0.000000
 136   1    2.000000    0.000000    0.000000
 136   2    2.000000    0.000000    0.000000
 136   3    2.000000    0.000000    0.000000
 136   4    2.000000    0.000000    0.000000
 136   5    2.000000    0.000000    0.000000
 137   1    2.000000    0.000000    0.000000
 137   2    2.000000    0.000000    0.000000
 137   3    2.000000    0.000000    0.000000
 137   4    2.000000    0.000000    0.000000
 137   5    2.000000    0.000000    0.000000
